objectid,data_2015,data_2016,data_2017,globalid,shape_Length,shape_Area,data_2018
14,http://gfw-gee-glad-export.s3.amazonaws.com/Africa_day_2015n.tif,http://gfw-gee-glad-export.s3.amazonaws.com/Africa_day_2016n.tif,http://gfw-gee-glad-export.s3.amazonaws.com/Africa_day_2017n.tif,{932E711D-67A0-4A92-9859-7C92D2CDBFE6},16375921.0697407,4405751825027.05,http://gfw-gee-glad-export.s3.amazonaws.com/Africa_day_2018n.tif
15,http://gfw-gee-glad-export.s3.amazonaws.com/FE_day2015m.tif,http://gfw-gee-glad-export.s3.amazonaws.com/FE_day2016m.tif, ,{443E122C-2CCF-4ED4-86B6-1549CA0DCF35},8746334.54779825,1018040120379.83, 
16,http://gfw-gee-glad-export.s3.amazonaws.com/nsa_day2015.tif,http://gfw-gee-glad-export.s3.amazonaws.com/nsa_day2016.tif,http://gfw-gee-glad-export.s3.amazonaws.com/nsa_day2017.tif,{01B1230A-743D-47F4-8C19-9578F2C4F960},39726728.6587749,13181137143678.8,http://gfw-gee-glad-export.s3.amazonaws.com/nsa_day2018.tif
17,http://gfw-gee-glad-export.s3.amazonaws.com/SEA_day_2015n.tif,http://gfw-gee-glad-export.s3.amazonaws.com/SEA_day_2016n.tif,http://gfw-gee-glad-export.s3.amazonaws.com/SEA_day_2017n.tif,{C2E56856-02E0-4DEF-8225-E01A2E2DA9BB},101053485.502645,2734442265977.29,http://gfw-gee-glad-export.s3.amazonaws.com/SEA_day_2018n.tif
